source_product_id,sku,name,category,price_aed,stock,description,image_url,supplier,active,b2b_available,match_confidence,matched_intermex_title,matched_intermex_url,review_notes
,CMX-ASSORTED-CANDY-BAG,Assorted Mexican Candy Bag,,25.00,50,Pocket price. Premium Flavours. Indulge with the genuine taste of Mexican tradition. Grab. Unwrap. Enjoy!,https://cdn.shopify.com/s/files/1/0642/6725/5904/files/WhatsAppImage2026-07-01at17.07.44.jpg?v=1782911308,Intermex UAE,false,false,exact,Assorted Mexican Candy Bag,https://intermexuae.com/products/assorted-mexican-candy-bag,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-MAYONESA-MACROMICK-LIME-390GM,Mayonesa Macromick (Lime) 390gm,,28.50,50,"McCormick Mayonesa (Mayonnaise) with Lime Juice is Mexico's top-selling mayonnaise brand , widely loved for its ultra-creamy texture and unique, tangy citrus twist.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-06-26114440.png?v=1782460393,Intermex UAE,false,false,exact,Mayonesa Macromick (Lime) 390gm,https://intermexuae.com/products/mayonesa-macromick-lime-390gm,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-VIVA-T-SHIRT,Viva México T-shirt!,,120.00,50,"Show your support for Mexico with our limited-edition Viva México, Cabrones! tee. Available in white, red, and green, inspired by the colours of the Mexican flag. Perfect for match days, watch parties, and celebrating Mexico throughout the 2026 World Cup. 🇲🇽",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Artboard3.png?v=1781628274,Intermex UAE,false,false,exact,Viva México T-shirt!,https://intermexuae.com/products/viva-mexico-t-shirt,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-JAPANESE-STYLE-PEANUTS-30G,Japanese Style Peanuts 30g,,2.50,50,"Discover the perfect fusion of flavors with these Japanese-style peanuts coated in a thick, super crunchy shell of toasted wheat flour infused with savory soy sauce. Each whole peanut is encased in a satisfying crunch that delivers an authentic taste experience. The bold, umami-rich coating complements the natural nuttiness of premium peanuts, creating an irresistible snack that's perfect for any occasion.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/ee711077-41bd-4db0-883d-462d18aced54.jpg?v=1778481807,Intermex UAE,false,false,exact,Japanese Style Peanuts 30g,https://intermexuae.com/products/japanese-style-peanuts-600g,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-PEPE-CRUNCH-PEANUTS-MANGO-FLAVOUR-500G,Pepe Crunch Peanuts Mango Flavour 500g,,35.00,50,"Toasted peanuts coated with a thick crunchy layer of roasted wheat flour Mango flavoured for a savoury, bold taste Authentic Mexican snack tradition 500g pack of satisfying crunch Perfect for snacking anytime, anywhere",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-05-09144403.png?v=1778324304,Intermex UAE,false,false,exact,Pepe Crunch Peanuts Mango Flavour 500g,https://intermexuae.com/products/pepe-crucnh-peanuts-mango-flavour-500g,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-PEPE-CRUNCH-PEANUTS-CHEESE-FLAVOUR-500G,Pepe Crunch Peanuts Cheese Flavour 500g,,35.00,50,"Toasted peanuts coated with a thick crunchy layer of roasted wheat flour Cheese flavoured for a savoury, bold taste Authentic Mexican snack tradition 500g pack of satisfying crunch Perfect for snacking anytime, anywhere",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-05-09142543.png?v=1778322509,Intermex UAE,false,false,exact,Pepe Crunch Peanuts Cheese Flavour 500g,https://intermexuae.com/products/pepe-crucnh-peanuts-cheese-flavour-500g,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-PEPE-CRUNCH-PEANUTS-CHILLI-FLAVOUR-500G,Pepe Crunch Peanuts Chilli Flavour 500g,,35.00,50,"Toasted peanuts coated with a thick crunchy layer of roasted wheat flour Chilli flavoured for a savoury, bold taste Authentic Mexican snack tradition 500g pack of satisfying crunch Perfect for snacking anytime, anywhere",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-05-09142035.png?v=1778322166,Intermex UAE,false,false,exact,Pepe Crunch Peanuts Chilli Flavour 500g,https://intermexuae.com/products/pepe-crucnh-peanuts-chilli-flavour-500g,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-CHOLULA-HOT-SAUCE-60ML,Cholula Original Hot Sauce 60ml,,11.90,50,"Core Flavor : A balanced blend of Arbol and Piquin peppers combined with signature spices and vinegar, offering a medium heat level that enhances food without overpowering it. Dietary Information : This sauce is vegan-friendly , gluten-free , and vegetarian . Iconic Design : Easily recognized by its round wooden cap , which reflects traditional Mexican craftsmanship.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-05-09145145.png?v=1778323923,Intermex UAE,false,false,exact,Cholula Original Hot Sauce 60ml,https://intermexuae.com/products/cholula-original-hot-sauce-60ml,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-CHOLULA-CHIPOTLE-HOT-SAUCE-150ML,Cholula Original Chipotle Hot Sauce 150ml,,20.90,50,"Flavor Profile: It offers deep barbecue-like notes and a rich, mesquite-like flavor. Heat Level: mild to medium. Dietary Info: vegan-friendly, gluten-free, and kosher. Recommended Pairings: Ideal for burgers, grilled meats, chicken, steaks, tacos, and even breakfast items like omelets.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-05-09133352.png?v=1778319467,Intermex UAE,false,false,exact,Cholula Original Chipotle Hot Sauce 150ml,https://intermexuae.com/products/cholula-original-chipotle-hot-sauce,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-CHOLULA-CHILLI-LIME-HOT-SAUCE,Cholula Original Chilli Lime Hot Sauce,,20.90,50,"Flavor Profile : Combines the bright essence of limes with a blend of arbol and piquin chili peppers . Heat Level : Mild Dietary Features : It is gluten-free, fat-free and contains no artificial flavors. Versatility : Beyond traditional Mexican dishes, it is popular on eggs, grilled meats, and even in cocktails like Bloody Marys.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-05-09132454.png?v=1778318892,Intermex UAE,false,false,exact,Cholula Original Chilli Lime Hot Sauce,https://intermexuae.com/products/cholula-original-chilli-lime-hot-sauce,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
